Model,Split,MAE,RMSE
LinearRegression,val,45.141825706372174,54.81219042041917
LinearRegression,test,43.27186318563673,53.21952047847929
DecisionTreeRegressor,val,57.22727272727273,75.047257838584
DecisionTreeRegressor,test,55.943820224719104,74.81189895143086
